id,company,website,linkedin,twitter,funding,product_summary,overall_score,ai_native_score,interestingness_score,resume_fit_score,hiring_likelihood_score,learning_challenge_score,logistics_score,hiring_status,hiring_evidence,remote_india_fit,research_confidence,tags,evidence_urls,message_short,message_founder
1063,Lore,https://joinlore.app/,https://www.linkedin.com/company/passageai,,,"Lore appears to have AI-related signals, but needs website research for confirmation.",41.0,8,6,2,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
1555,Mecha Health,https://www.mecha-health.ai/,https://www.linkedin.com/company/mecha-health/,https://x.com/AAY1993,,"Mecha Health appears to have AI-related signals, but needs website research for confirmation.",41.0,8,6,2,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
727,Lamin,https://lamin.ai,https://www.linkedin.com/company/lamin-labs,https://twitter.com/laminlabs,,"Lamin appears to have AI-related signals, but needs website research for confirmation.",40.0,4,5,0,8,6,4,Yes,Relevant engineering/AI/software hiring language found.,No clear remote/India signal found yet.,4,Hiring signal,,,
272,BetterBasket,http://www.betterbasket.com,https://www.linkedin.com/company/98110558,,,"BetterBasket appears to have AI-related signals, but needs website research for confirmation.",39.0,6,5,4,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
307,Solari AI,https://www.usesolari.ai/,https://www.linkedin.com/company/solari-ai,https://x.com/lytixai,,"Solari AI appears to have AI-related signals, but needs website research for confirmation.",39.0,6,5,4,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
584,Aegis,https://aegishealth.us/,https://www.linkedin.com/company/aegis-yc-x25/,,,"Aegis appears to have AI-related signals, but needs website research for confirmation.",39.0,6,5,4,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
634,Dedalus Labs,https://www.dedaluslabs.ai/,https://www.linkedin.com/company/dedalus-labs,https://x.com/dedaluslabs,,"Dedalus Labs appears to have AI-related signals, but needs website research for confirmation.",39.0,4,4,6,1,4,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,Strong resume fit,,,
642,RowFlow,https://rowflow.ai,https://www.linkedin.com/company/rowflow,https://x.com/rowflowai,,"RowFlow appears to have AI-related signals, but needs website research for confirmation.",39.0,6,5,4,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
990,Sorting Robotics,https://www.sortingrobotics.com/,https://www.linkedin.com/company/sortingrobotics/,,,"Sorting Robotics appears to have AI-related signals, but needs website research for confirmation.",39.0,6,5,4,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
1109,Bucket Robotics,https://bucket.bot,https://www.linkedin.com/company/bucketrobotics/,https://x.com/BucketRobotics,,"Bucket Robotics appears to have AI-related signals, but needs website research for confirmation.",39.0,6,5,4,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
1184,RetroFix,https://www.retrofix.ai/,https://www.linkedin.com/company/retrofix-ai/,,,"RetroFix appears to have AI-related signals, but needs website research for confirmation.",39.0,6,5,4,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
170,Ohm,https://www.ohm.ai,https://www.linkedin.com/company/ohm/,https://twitter.com/penelopekjones_,,"Ohm appears to have AI-related signals, but needs website research for confirmation.",38.0,4,4,0,8,4,4,Yes,Relevant engineering/AI/software hiring language found.,No clear remote/India signal found yet.,4,Hiring signal,,,
313,Reducto,https://reducto.ai,https://www.linkedin.com/company/reducto-ai/,https://x.com/reductoai,,"Reducto appears to have AI-related signals, but needs website research for confirmation.",38.0,4,4,0,8,4,4,Yes,Relevant engineering/AI/software hiring language found.,No clear remote/India signal found yet.,4,Hiring signal,,,
659,Fleetline,https://fleetline.ai,https://www.linkedin.com/company/fleetlineai,https://twitter.com/sauravml,,"Fleetline appears to have AI-related signals, but needs website research for confirmation.",38.0,8,7,0,1,4,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
947,VectorShift,https://www.vectorshift.ai,https://www.linkedin.com/company/vectorshift/,,,"VectorShift appears to have AI-related signals, but needs website research for confirmation.",38.0,6,6,2,1,6,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
1044,Sensei,https://senseirobotics.com,https://www.linkedin.com/in/anubhav-guha-886445129/,,,"Sensei appears to have AI-related signals, but needs website research for confirmation.",38.0,4,4,0,8,4,4,Yes,Relevant engineering/AI/software hiring language found.,No clear remote/India signal found yet.,4,Hiring signal,,,
1497,Nitrode,https://www.nitrode.com,https://www.linkedin.com/company/nitrode,https://x.com/GetNitrode,,"Nitrode appears to have AI-related signals, but needs website research for confirmation.",38.0,4,4,0,8,4,4,Yes,Relevant engineering/AI/software hiring language found.,No clear remote/India signal found yet.,4,Hiring signal,,,
1160,Capitol AI,https://www.capitol.ai/,https://www.linkedin.com/company/capitolai/,https://x.com/capitolai,,"Capitol AI appears to have AI-related signals, but needs website research for confirmation.",37.0,4,3,6,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,Strong resume fit,,,
113,LiteLLM,https://www.litellm.ai/,https://www.linkedin.com/company/berri-ai/,https://twitter.com/LiteLLM,,"LiteLLM appears to have AI-related signals, but needs website research for confirmation.",36.0,6,5,2,1,4,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
247,Agentic Labs,https://agenticlabs.com,https://www.linkedin.com/company/agentic-labs/,,,"Agentic Labs appears to have AI-related signals, but needs website research for confirmation.",36.0,6,5,2,1,4,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
262,Integuru,https://www.integuru.ai,https://www.linkedin.com/company/integuru-ai/,https://x.com/InteguruAI,,"Integuru appears to have AI-related signals, but needs website research for confirmation.",36.0,6,5,2,1,4,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
530,The LLM Data Company,https://www.llmdata.com/,https://www.linkedin.com/company/the-llm-data-company/,https://x.com/bertgodel,,"The LLM Data Company appears to have AI-related signals, but needs website research for confirmation.",36.0,6,5,2,1,4,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
732,Intuned,https://intunedhq.com,https://www.linkedin.com/company/82287935,https://twitter.com/IntunedHQ,,"Intuned appears to have AI-related signals, but needs website research for confirmation.",36.0,6,5,2,1,4,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
876,CambioML,https://energent.ai/,https://www.linkedin.com/company/96598226,https://twitter.com/cambioml,,"CambioML appears to have AI-related signals, but needs website research for confirmation.",36.0,6,5,2,1,4,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
1023,Datafold,https://datafold.com,https://www.linkedin.com/company/datafold,,,"Datafold appears to have AI-related signals, but needs website research for confirmation.",36.0,2,2,2,8,2,6,Yes,Relevant engineering/AI/software hiring language found.,Remote/India-friendly signals found.,4,Hiring signal; Remote/India signal,,,
1148,MinusX,https://minusx.ai,https://www.linkedin.com/company/minusx-ai,https://x.com/nuwandavek,,"MinusX appears to have AI-related signals, but needs website research for confirmation.",36.0,6,5,2,1,4,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
1558,Lucidic AI,https://lucidic.ai,https://www.linkedin.com/company/105580616/,,,"Lucidic AI appears to have AI-related signals, but needs website research for confirmation.",36.0,6,5,2,1,4,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
4,Moonshine,https://usemoonshine.com,https://www.linkedin.com/company/usemoonshine,https://x.com/usemoonshine,,"Moonshine appears to have AI-related signals, but needs website research for confirmation.",34.0,6,5,2,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
54,AutoComputer,https://www.autocomputer.ai/,https://www.linkedin.com/in/ms337/,https://x.com/madhavsinghal_,,"AutoComputer appears to have AI-related signals, but needs website research for confirmation.",34.0,6,5,2,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
102,Scanbase,https://www.scanbase.com,https://www.linkedin.com/company/scanbases/,,,"Scanbase appears to have AI-related signals, but needs website research for confirmation.",34.0,6,5,2,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
155,StackAI,https://www.stack-ai.com,https://www.linkedin.com/company/stackai/,https://twitter.com/StackAI_HQ,,"StackAI appears to have AI-related signals, but needs website research for confirmation.",34.0,6,5,2,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
160,Inkeep,https://inkeep.com,https://www.linkedin.com/company/inkeep/,https://twitter.com/inkeep,,"Inkeep appears to have AI-related signals, but needs website research for confirmation.",34.0,4,4,4,1,4,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,,,,
235,Aedilic,https://www.nonescape.com,https://www.linkedin.com/company/aedilic,,,"Aedilic appears to have AI-related signals, but needs website research for confirmation.",34.0,6,5,2,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
254,Speck,https://speck.sh,https://www.linkedin.com/company/speck,https://x.com/speck_ai,,"Speck appears to have AI-related signals, but needs website research for confirmation.",34.0,6,5,2,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
264,Basepilot,https://www.basepilot.com/,https://www.linkedin.com/company/basepilot/,https://twitter.com/basepilot,,"Basepilot appears to have AI-related signals, but needs website research for confirmation.",34.0,6,5,2,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
635,OnDeck AI,https://www.ondeckai.com,https://www.linkedin.com/company/ondeckai/,https://x.com/ondeckai,,"OnDeck AI appears to have AI-related signals, but needs website research for confirmation.",34.0,6,5,2,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
867,Inari,https://useinari.com,https://www.linkedin.com/company/98071724/,https://twitter.com/useinari,,"Inari appears to have AI-related signals, but needs website research for confirmation.",34.0,6,5,2,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
901,Magic Loops,https://magicloops.dev,https://www.linkedin.com/company/magicloops,https://twitter.com/magicloopsdev,,"Magic Loops appears to have AI-related signals, but needs website research for confirmation.",34.0,6,5,2,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
1037,Photoroom,https://photoroom.com/,https://www.linkedin.com/company/photoroom/,https://twitter.com/photoroom_app,,"Photoroom appears to have AI-related signals, but needs website research for confirmation.",34.0,6,5,2,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
1067,Sharpe,https://sharpe.sh,https://www.linkedin.com/company/sharpe011235,,,"Sharpe appears to have AI-related signals, but needs website research for confirmation.",34.0,2,2,2,8,2,4,Yes,Relevant engineering/AI/software hiring language found.,No clear remote/India signal found yet.,4,Hiring signal,,,
1083,Decisional AI,https://www.decisional.com/,https://www.linkedin.com/company/decisional-ai/,https://twitter.com/getdecisional,,"Decisional AI appears to have AI-related signals, but needs website research for confirmation.",34.0,6,5,2,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
1105,FINNY AI,https://www.finny.com/,https://www.linkedin.com/company/finnyai/,,,"FINNY AI appears to have AI-related signals, but needs website research for confirmation.",34.0,6,5,2,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
1124,AutoPallet Robotics,https://autopallet.bot,https://www.linkedin.com/company/autopallet-robotics/,,,"AutoPallet Robotics appears to have AI-related signals, but needs website research for confirmation.",34.0,6,5,2,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
1156,Simplex,https://simplex.sh,https://www.linkedin.com/company/usesimplex,https://x.com/usesimplex,,"Simplex appears to have AI-related signals, but needs website research for confirmation.",34.0,6,5,2,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
1170,Entangl,https://www.entangl.com/,https://www.linkedin.com/company/entangl,https://twitter.com/Entangl_AI,,"Entangl appears to have AI-related signals, but needs website research for confirmation.",34.0,6,5,2,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
1189,Sage Care,https://sagecare.ai,https://www.linkedin.com/company/sagecare-ai,https://x.com/levinsonjon,,"Sage Care appears to have AI-related signals, but needs website research for confirmation.",34.0,6,5,2,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
1506,Exla,https://exla.ai/,https://www.linkedin.com/company/exla-corp,https://x.com/exla_ai,,"Exla appears to have AI-related signals, but needs website research for confirmation.",34.0,6,5,2,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
1547,Corsair,https://www.corsair.dev,https://www.linkedin.com/company/corsairdev,https://x.com/corsairdotdev,,"Corsair appears to have AI-related signals, but needs website research for confirmation.",34.0,4,4,4,1,4,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,,,,
35,Lingo.dev,https://lingo.dev,https://www.linkedin.com/company/lingodotdev/,https://x.com/lingodotdev,,"Lingo.dev appears to have AI-related signals, but needs website research for confirmation.",33.0,2,3,0,8,4,6,Yes,Relevant engineering/AI/software hiring language found.,Remote/India-friendly signals found.,4,Hiring signal; Remote/India signal,,,
285,Preloop,https://www.preloop.com,https://www.linkedin.com/company/preloop/,https://twitter.com/preloop,,"Preloop appears to have AI-related signals, but needs website research for confirmation.",33.0,6,6,0,1,6,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
627,Lilac,https://getlilac.com,https://www.linkedin.com/company/get-lilac,https://x.com/LilacML,,"Lilac appears to have AI-related signals, but needs website research for confirmation.",33.0,6,5,0,1,4,6,No,No current relevant hiring evidence found in fetched text.,Remote/India-friendly signals found.,4,AI-native; Remote/India signal,,,
884,Briefer,https://briefer.cloud,https://www.linkedin.com/company/briefercloud/,https://twitter.com/briefercloud,,"Briefer appears to have AI-related signals, but needs website research for confirmation.",33.0,2,3,0,8,4,6,Yes,Relevant engineering/AI/software hiring language found.,Remote/India-friendly signals found.,4,Hiring signal; Remote/India signal,,,
1197,FlowDeploy,https://flowdeploy.com,https://www.linkedin.com/company/toolchest,https://twitter.com/trytoolchest,,"FlowDeploy appears to have AI-related signals, but needs website research for confirmation.",33.0,2,3,0,8,4,6,Yes,Relevant engineering/AI/software hiring language found.,Remote/India-friendly signals found.,4,Hiring signal; Remote/India signal,,,
1239,JumpWire,https://jumpwire.io,https://www.linkedin.com/company/jumpwire,https://twitter.com/jumpwire_ai,,"JumpWire appears to have AI-related signals, but needs website research for confirmation.",33.0,4,5,2,1,6,6,No,No current relevant hiring evidence found in fetched text.,Remote/India-friendly signals found.,4,Remote/India signal,,,
197,Attunement,http://attunement.ai,https://linkedin.com/in/angiemuller,https://twitter.com/attunementai,,"Attunement appears to have AI-related signals, but needs website research for confirmation.",32.0,4,3,4,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,,,,
214,JustAI,https://getjust.ai,https://www.linkedin.com/company/getjustai,https://twitter.com/getjustai,,"JustAI appears to have AI-related signals, but needs website research for confirmation.",32.0,4,3,4,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,,,,
284,CommodityAI,https://commodityai.io/,https://www.linkedin.com/company/commodityai,,,"CommodityAI appears to have AI-related signals, but needs website research for confirmation.",32.0,4,3,4,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,,,,
301,Tower,https://withtower.com,https://www.linkedin.com/company/tower-software-labs/,https://twitter.com/trytower/,,"Tower appears to have AI-related signals, but needs website research for confirmation.",32.0,4,3,4,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,,,,
545,Moby Analytics,https://www.mobyanalytics.com/,https://www.linkedin.com/in/dimitri-kassubeck-69764647/,,,"Moby Analytics appears to have AI-related signals, but needs website research for confirmation.",32.0,4,3,4,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,,,,
692,Bizzy AI,https://www.usebizzy.com/,https://www.linkedin.com/in/rithvikgabri,https://x.com/rickgxa,,"Bizzy AI appears to have AI-related signals, but needs website research for confirmation.",32.0,4,3,4,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,,,,
702,Perspectives Health,https://perspectiveshealth.ai/,https://www.linkedin.com/company/perspectives-health/,https://x.com/EshanDosani,,"Perspectives Health appears to have AI-related signals, but needs website research for confirmation.",32.0,4,3,4,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,,,,
853,Alchemy,,"AI-powered Drug Discovery, Machine Learning, SaaS, Biotech, Automation",,,"Alchemy appears to have AI-related signals, but needs website research for confirmation.",32.0,6,5,2,1,2,2,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,2,AI-native,,,
1028,CoreCare,https://corecare.ai,https://www.linkedin.com/company/corecare/,https://x.com/dennisantonelos,,"CoreCare appears to have AI-related signals, but needs website research for confirmation.",32.0,4,3,4,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,,,,
1183,Dench.com,https://dench.com,https://www.linkedin.com/company/denchcom,https://twitter.com/dench_com,,"Dench.com appears to have AI-related signals, but needs website research for confirmation.",32.0,4,3,4,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,,,,
1453,Tasker AI,http://www.tasker.ai,https://www.linkedin.com/company/taskerai/,https://twitter.com/taskerhq,,"Tasker AI appears to have AI-related signals, but needs website research for confirmation.",32.0,4,3,4,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,,,,
1535,Dartboard Energy,https://dartboardenergy.com,https://www.linkedin.com/company/dartboard-energy/,https://x.com/dartboardenergy,,"Dartboard Energy appears to have AI-related signals, but needs website research for confirmation.",32.0,4,3,4,1,2,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,,,,
36,Endstack,https://www.endstack.com,https://www.linkedin.com/company/endstack-com,https://x.com/endstack,,"Endstack appears to have AI-related signals, but needs website research for confirmation.",31.0,6,5,0,1,4,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
120,Double – Coding Copilot,https://double.bot,https://www.linkedin.com/company/double-ai,https://twitter.com/double_ide,,"Double – Coding Copilot appears to have AI-related signals, but needs website research for confirmation.",31.0,6,5,0,1,4,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
135,Booth AI,https://booth.ai,https://www.linkedin.com/company/booth-ai/,https://twitter.com/booth_ai,,"Booth AI appears to have AI-related signals, but needs website research for confirmation.",31.0,6,5,0,1,2,6,No,No current relevant hiring evidence found in fetched text.,Remote/India-friendly signals found.,4,AI-native; Remote/India signal,,,
149,Magicflow,https://magicflow.ai,https://linkedin.com/in/yardenst,,,"Magicflow appears to have AI-related signals, but needs website research for confirmation.",31.0,6,5,0,1,4,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
256,camelAI,https://camelai.com/,https://www.linkedin.com/company/usecamelAI,https://twitter.com/usecamelAI,,"camelAI appears to have AI-related signals, but needs website research for confirmation.",31.0,6,5,0,1,4,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
290,Trellis AI,https://runtrellis.com/,https://www.linkedin.com/company/runtrellis,https://twitter.com/runtrellis,,"Trellis AI appears to have AI-related signals, but needs website research for confirmation.",31.0,2,3,0,8,4,4,Yes,Relevant engineering/AI/software hiring language found.,No clear remote/India signal found yet.,4,Hiring signal,,,
549,Plexe,https://plexe.ai,https://www.linkedin.com/company/plexe-ai/,https://x.com/PlexeAI,,"Plexe appears to have AI-related signals, but needs website research for confirmation.",31.0,6,5,0,1,4,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
579,Boost Robotics,https://www.boostrobotics.ai,https://linkedin.com/company/boost-robotics,,,"Boost Robotics appears to have AI-related signals, but needs website research for confirmation.",31.0,6,5,0,1,4,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
582,mlop,https://mlop.ai,https://www.linkedin.com/company/mlop,http://x.com/mlop_ai,,"mlop appears to have AI-related signals, but needs website research for confirmation.",31.0,6,5,0,1,4,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
586,Kashikoi,https://www.getkashikoi.com,https://www.linkedin.com/company/kashikoi/,https://x.com/aaksham,,"Kashikoi appears to have AI-related signals, but needs website research for confirmation.",31.0,6,5,0,1,4,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
665,Doe,https://doe.so/,https://www.linkedin.com/company/107749671/,https://x.com/YuhuangOu,,"Doe appears to have AI-related signals, but needs website research for confirmation.",31.0,6,5,0,1,4,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
685,DeepAware AI,https://deepawareai.com/,https://www.linkedin.com/company/deepaware,https://x.com/DeepAwareAI,,"DeepAware AI appears to have AI-related signals, but needs website research for confirmation.",31.0,6,5,0,1,4,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
753,Monterey AI,http://www.monterey.ai,https://www.linkedin.com/company/monterey-ai,https://twitter.com/montereyai,,"Monterey AI appears to have AI-related signals, but needs website research for confirmation.",31.0,6,5,0,1,2,6,No,No current relevant hiring evidence found in fetched text.,Remote/India-friendly signals found.,4,AI-native; Remote/India signal,,,
806,Mystic,https://www.mystic.ai/,https://www.linkedin.com/company/mystic-ai,https://twitter.com/mysticdotai,,"Mystic appears to have AI-related signals, but needs website research for confirmation.",31.0,6,5,0,1,4,4,No,No current relevant hiring evidence found in fetched text.,No clear remote/India signal found yet.,4,AI-native,,,
